True,Artibeus lituratus,Bos taurus,Canis lupus,Capra hircus,Cerdocyon thous,Desmodus rotundus,Eptesicus fuscus,Equus caballus,Felis catus,Homo sapiens,Lasiurus borealis,Mephitis mephitis,Nyctereutes procyonoides,Procyon lotor,Tadarida brasiliensis,Vulpes lagopus,Vulpes vulpes,All
Artibeus lituratus,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Bos taurus,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,16
Canis lupus,0,0,12,0,0,0,0,0,1,2,0,0,1,0,0,0,0,16
Capra hircus,0,0,0,12,0,0,0,1,2,0,0,0,0,0,0,0,1,16
Cerdocyon thous,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,16
Desmodus rotundus,0,4,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,16
Eptesicus fuscus,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
Equus caballus,0,4,0,1,0,0,0,8,0,1,0,1,0,0,0,1,0,16
Felis catus,0,1,1,1,0,0,0,1,6,1,0,0,1,4,0,0,0,16
Homo sapiens,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,16
Lasiurus borealis,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
Mephitis mephitis,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,1,16
Nyctereutes procyonoides,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
Procyon lotor,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,16
Tadarida brasiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16
Vulpes lagopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
Vulpes vulpes,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,13,16
All,12,26,15,14,15,11,17,11,9,20,16,15,22,19,16,17,17,272
